image,label
airplane95.tif,airplane
airplane15.tif,airplane
airplane74.tif,airplane
airplane59.tif,airplane
airplane17.tif,airplane
harbor77.tif,harbor
harbor30.tif,harbor
harbor09.tif,harbor
harbor28.tif,harbor
harbor11.tif,harbor
mobilehomepark41.tif,mobilehomepark
mobilehomepark01.tif,mobilehomepark
mobilehomepark89.tif,mobilehomepark
mobilehomepark35.tif,mobilehomepark
mobilehomepark58.tif,mobilehomepark
freeway49.tif,freeway
freeway41.tif,freeway
freeway01.tif,freeway
freeway78.tif,freeway
freeway43.tif,freeway
intersection16.tif,intersection
intersection28.tif,intersection
intersection96.tif,intersection
intersection42.tif,intersection
intersection47.tif,intersection
mediumresidential24.tif,mediumresidential
mediumresidential94.tif,mediumresidential
mediumresidential80.tif,mediumresidential
mediumresidential31.tif,mediumresidential
mediumresidential21.tif,mediumresidential
baseballdiamond47.tif,baseballdiamond
baseballdiamond73.tif,baseballdiamond
baseballdiamond54.tif,baseballdiamond
baseballdiamond76.tif,baseballdiamond
baseballdiamond55.tif,baseballdiamond
river95.tif,river
river56.tif,river
river68.tif,river
river35.tif,river
river37.tif,river
tenniscourt52.tif,tenniscourt
tenniscourt75.tif,tenniscourt
tenniscourt83.tif,tenniscourt
tenniscourt11.tif,tenniscourt
tenniscourt01.tif,tenniscourt
sparseresidential17.tif,sparseresidential
sparseresidential44.tif,sparseresidential
sparseresidential15.tif,sparseresidential
sparseresidential75.tif,sparseresidential
sparseresidential14.tif,sparseresidential
storagetanks36.tif,storagetanks
storagetanks43.tif,storagetanks
storagetanks30.tif,storagetanks
storagetanks70.tif,storagetanks
storagetanks56.tif,storagetanks
forest71.tif,forest
forest53.tif,forest
forest66.tif,forest
forest31.tif,forest
forest27.tif,forest
parkinglot99.tif,parkinglot
parkinglot53.tif,parkinglot
parkinglot80.tif,parkinglot
parkinglot36.tif,parkinglot
parkinglot60.tif,parkinglot
beach87.tif,beach
beach45.tif,beach
beach78.tif,beach
beach18.tif,beach
beach09.tif,beach
denseresidential88.tif,denseresidential
denseresidential60.tif,denseresidential
denseresidential44.tif,denseresidential
denseresidential65.tif,denseresidential
denseresidential51.tif,denseresidential
agricultural56.tif,agricultural
agricultural22.tif,agricultural
agricultural42.tif,agricultural
agricultural52.tif,agricultural
agricultural29.tif,agricultural
chaparral06.tif,chaparral
chaparral20.tif,chaparral
chaparral19.tif,chaparral
chaparral67.tif,chaparral
chaparral78.tif,chaparral
buildings08.tif,buildings
buildings26.tif,buildings
buildings78.tif,buildings
buildings96.tif,buildings
buildings29.tif,buildings
golfcourse00.tif,golfcourse
golfcourse10.tif,golfcourse
golfcourse50.tif,golfcourse
golfcourse17.tif,golfcourse
golfcourse68.tif,golfcourse
runway85.tif,runway
runway33.tif,runway
runway59.tif,runway
runway62.tif,runway
runway23.tif,runway
overpass67.tif,overpass
overpass80.tif,overpass
overpass48.tif,overpass
overpass90.tif,overpass
overpass99.tif,overpass
